,Label,mean_1,mean_2,mean_3,mean_4,median_1,median_2,median_3,median_4,sd_1,sd_2,sd_3,sd_4,min_1,min_2,min_3,min_4,max_1,max_2,max_3,max_4
3042,v-cut-left-Rfirst,25367.76367,26435.55945,36695.40741,25367.76367,26884,27658,35304,26884,4797.10854,10351.575,10200.83813,4797.10854,12439,62,13341,12439,31272,47776,65424,31272
3043,stand,29136.03472,29318.11316,29260.96074,29136.03472,29028,29232,29172,29028,813.4860313,988.9694897,799.2419098,813.4860313,28050,27948,28053,28050,30828,30858,31034,30828
3044,v-cut-right-Lfirst,28430.54545,36873.69076,22714.24874,28430.54545,28358,36205,21416,28358,1644.573143,5017.954389,7808.953897,1644.573143,25060,29188,11120,25060,32012,52272,52156,32012
3045,v-cut-right-Rfirst,31098.07971,29418.57108,33181.20482,31098.07971,29678,30870,31972,29678,3544.951383,9130.802408,7227.318236,3544.951383,26396,1815,8991,26396,39828,48176,48416,39828
3046,stand-to-sit,29339.25573,29105.5619,30015.75238,29339.25573,29434,29076,30182,29434,1077.692218,3292.472475,1366.721587,1077.692218,27351,22098,27265,27351,31303,35352,33533,31303
3047,run,30120.37595,28656.52339,29399.98862,30120.37595,30880,26892,31700,30880,5148.448157,13362.42396,15961.93215,5148.448157,16510,66,61,16510,44328,65416,65428,44328
3048,stand,29150.38116,29347.31838,29141.7265,29150.38116,28895,29300,28792,28895,872.8449712,950.0194403,933.016077,872.8449712,28236,27772,28041,28236,30965,31293,30967,30965
3049,walk,30268.02431,28009.0104,28308.31214,30268.02431,29592,27996,28770,29592,5891.19523,10356.11475,14423.4509,5891.19523,22177,343,61,22177,64456,64456,65424,64456
3050,curve-right-step,30834.23866,29541.73596,28319.7399,30834.23866,30321,29280,29577,30321,6202.526837,9083.974331,8654.722697,6202.526837,19092,12228,2149,19092,57568,58792,52360,57568
3051,run,30234.81579,31727.92993,27434.01168,30234.81579,30808,27352,26968,30808,4321.764178,15323.54695,15678.97858,4321.764178,22548,61,61,22548,39804,65420,65424,39804
3052,stand,29091.59151,29422.72487,29069.52381,29091.59151,28546,29320,28837,28546,1000.760768,1002.112759,800.0286969,1000.760768,28036,28155,28095,28036,30840,31162,30652,30840
3053,sit-to-stand,29037.48846,29918.84069,28648.01536,29037.48846,28932,29634,28568,28932,984.7101839,1966.69828,1446.345463,984.7101839,25116,25116,26048,25116,30928,34831,32628,30928
3054,v-cut-right-Lfirst,28457.23051,34666.70051,24617.73773,28457.23051,28085,35034,24814,28085,2497.752156,13770.34997,9919.918816,2497.752156,24649,65,6220,24649,35840,65420,45996,35840
3055,v-cut-left-Lfirst,29552.27665,38491.96456,16086.95696,29552.27665,27496,35008,17640,27496,4444.687291,9799.470308,11436.17941,4444.687291,25185,28968,61,25185,43904,65432,49448,43904
3056,stand-to-sit,28835.47251,29264.97084,29690.52487,28835.47251,28564,29165,29712,28564,1152.575264,2001.583228,1596.996432,1152.575264,25536,24560,25776,25536,31187,33656,34520,31187
3057,jump-one-leg,32904.33667,30333.88372,26737.16611,32904.33667,32868.5,28952,21012,32868.5,3403.43548,12241.71346,19979.67499,3403.43548,26848,76,61,26848,39305,53804,65416,39305
3058,curve-left-spin-Lfirst,27161.04972,26853.09091,18064.63636,27161.04972,27886,27773,17746,27886,2876.512703,4947.917236,15704.54105,2876.512703,22137,18080,63,22137,31451,33714,49875,31451
3059,v-cut-right-Lfirst,28112.7269,35407.62705,25445.21721,28112.7269,27951,35233,21072,27951,1683.860448,4542.372588,16727.63555,1683.860448,24920,29124,3421,24920,31960,51172,65176,31960
3060,v-cut-left-Lfirst,31605.67925,35661.88235,16449.20941,31605.67925,31608,33769,21045,31608,4062.480813,11164.55703,13831.75725,4062.480813,23392,13796,60,23392,40293,65416,35936,40293
3061,curve-left-spin-Lfirst,26887.88,26094.43875,15665.50427,26887.88,28064,24664,7872,28064,4407.242915,3874.742266,13640.25857,4407.242915,19884,21792,62,19884,33930,38068,38684,33930
3062,v-cut-right-Lfirst,26974.31417,34653.03689,26668.22541,26974.31417,27067,36220,19870,27067,1708.100612,5595.353934,18142.17023,1708.100612,23420,23992,65,23420,30736,46012,65420,30736
3063,jump-one-leg,28756.20189,33147.27044,29928.73585,28756.20189,28504,35072,29296,28504,2611.997635,12407.45727,19105.29371,2611.997635,24464,63,62,24464,38624,51152,65408,38624
3064,curve-right-step,30691.70565,29906.03223,28252.3001,30691.70565,31120,29004,28805,31120,6580.926365,9938.028802,9559.71412,6580.926365,15119,66,63,15119,49520,60376,46296,49520
3065,curve-right-step,29722.67726,30868.44643,28060.16865,29722.67726,30105,30109,28847,30105,6836.077715,8308.271326,8430.418812,6836.077715,15738,13276,67,15738,49944,59488,53216,49944
3066,lateral-shuffle-right,27923.30606,29383.31467,30708.86838,27923.30606,33164,27625,34925,33164,12159.10681,16615.94093,15584.40715,12159.10681,63,61,61,63,54528,65424,65424,54528
3067,curve-left-spin-Lfirst,27359.96154,27117.29412,19034.53708,27359.96154,27864,28261,20775,27864,3287.545402,5708.857174,16823.11068,3287.545402,20952,16484,62,20952,33316,36368,63844,33316
3068,lateral-shuffle-left,30578.32345,32717.60027,29949.89502,30578.32345,29358,33956,32290,29358,3859.859018,19776.70672,15228.23845,3859.859018,24468,60,61,24468,40256,65428,61352,40256
3069,curve-left-spin-Lfirst,26979.38537,28058.88078,19672.07299,26979.38537,27612,27192,16941,27612,2658.362795,4020.819758,17139.9384,2658.362795,21364,21696,63,21364,30696,37514,52912,30696
3070,v-cut-right-Lfirst,28323.56962,36637.45684,22305.12,28323.56962,28189,36856,21740,28189,2585.71366,6700.529408,17940.03402,2585.71366,24147,24532,63,24147,35954,54348,65436,35954
3071,curve-right-spin-Rfirst,35105.78125,33371.5039,26348.00519,35105.78125,30276,38252,26316,30276,9177.606818,18429.99082,1832.408085,9177.606818,27624,4418,17255,27624,56528,58864,30596,56528
3072,curve-left-spin-Rfirst,26200.7,21701.31568,35972.24644,26200.7,28992,25260,36144,28992,6805.724284,10559.02761,2699.411036,6805.724284,4893,4191,30084,4893,32368,43224,43940,32368
3073,v-cut-left-Rfirst,25330.56335,27275.07901,35478.53725,25330.56335,26276,25750,36356,26276,4567.588856,11672.45721,16778.26416,4567.588856,12900,11572,61,12900,31601,54830,65424,31601
3074,stair-up,28290.83363,30021.67022,29518.80356,28290.83363,29026,30706,28712,29026,7502.111956,7441.008416,6404.177686,7502.111956,8524,16584,8910,8524,47148,53129,43837,47148
3075,lateral-shuffle-right,28783.42246,30225.21371,30100.81211,28783.42246,29105,31291,29408,29105,10438.89016,19267.0863,4270.485532,10438.89016,61,61,20940,61,54600,65416,42368,54600
3076,lateral-shuffle-left,30191.85014,31686.86531,29278.68299,30191.85014,30008,36712,31468,30008,3524.966532,19708.66516,16238.20127,3524.966532,18940,61,61,18940,39060,65428,61496,39060
3077,jump-one-leg,34054.44195,25343.87313,29692.38806,34054.44195,33881,22466,23586,33881,4643.794969,12988.806,21382.76326,4643.794969,24572,63,61,24572,41728,55410,65420,41728
3078,jump-one-leg,30135.63576,30315.41254,26165.44554,30135.63576,28590,26044,23204,28590,6036.633903,14237.05334,13681.87002,6036.633903,20438,62,65,20438,44908,59453,54312,44908
3079,v-cut-left-Lfirst,30019.96313,34806.04368,16774.24368,30019.96313,29765,33032,19650,29765,1505.58583,10114.99245,13364.48795,1505.58583,27132,11751,62,27132,33200,65416,50013,33200
3080,curve-right-spin-Rfirst,31167.56897,37745.59785,25479.60215,31167.56897,29780,33465,29172,29780,4478.665663,12319.01206,11181.55521,4478.665663,26908,8203,61,26908,47496,63916,39169,47496
3081,v-cut-right-Rfirst,28704.17123,29085.10427,32633.87009,28704.17123,27916,27629,32044,27916,4227.566881,12704.73576,5883.392774,4227.566881,20684,63,20152,20684,37600,65408,47856,37600
3082,stand-to-sit,27053.83398,31826.25926,29596.06433,27053.83398,27709,31672,29627,27709,2001.951757,4437.031117,1992.014462,2001.951757,22028,23749,26128,22028,30213,41756,34724,30213
3083,jump-two-leg,28112.90283,31335.89495,29758.4303,28112.90283,28368,32072,31448,28368,2461.984902,6466.651685,19849.85392,2461.984902,23042,17948,61,23042,32890,43448,65436,32890
3084,curve-left-spin-Rfirst,28457.04118,19023.17808,32525.11155,28457.04118,28240,21512,33024,28240,1139.220107,6994.177893,14076.53526,1139.220107,25642,484,5630,25642,30710,27232,59072,30710
3085,jump-one-leg,28732.46239,30795.81015,31694.4128,28732.46239,28004,32040,32356,28004,6759.640745,14966.22209,18336.95118,6759.640745,12732,63,59,12732,43565,65424,65424,43565
3086,curve-right-spin-Lfirst,29471.52034,34307.47436,32081.20513,29471.52034,29864,33481,34700,29864,3966.753114,3961.987506,10994.92124,3966.753114,19801,28160,5726,19801,36996,42214,54484,36996
3087,lateral-shuffle-left,30520.68319,30651.20773,27975.34783,30520.68319,30188,28808,27879,30188,3145.600967,20665.41379,18050.42098,3145.600967,24081,62,62,24081,39168,65424,65424,39168
3088,walk,30820.32327,29153.89591,29235.51751,30820.32327,30625,28904,31077,30625,6798.883846,10591.56117,13491.12689,6798.883846,3252,7638,112,3252,63320,56092,65428,63320
3089,curve-right-spin-Rfirst,35906.22642,34396.45647,24629.02588,35906.22642,31072,27973,28820,31072,10234.33474,15949.1535,9784.271834,10234.33474,28384,16794,64,28384,65420,65420,34593,65420
3090,curve-right-step,29898.13731,30178.51083,28519.61191,29898.13731,29888,30068,27992,29888,6422.011458,10220.03187,11822.58519,6422.011458,65,8824,2681,65,55880,58788,61892,55880
3091,v-cut-left-Rfirst,27819.68223,22680.05914,36464.13262,27819.68223,28057,22016,39804,28057,3886.367117,9323.216494,11641.96698,3886.367117,16928,64,16370,16928,42254,57716,65404,42254
3092,curve-left-spin-Rfirst,28961.06531,16342.23218,34474.5336,28961.06531,29110,16306,36409,29110,2628.225564,8380.632596,11118.2675,2628.225564,22893,1292,9042,22893,33994,33256,65424,33994
3093,curve-left-spin-Lfirst,29185.3209,22941.61787,20927.75186,29185.3209,29345,22993,12528,29345,2893.73882,4442.53909,19097.84732,2893.73882,23236,14776,65,23236,34112,36120,65416,34112
3094,curve-left-step,29688.51439,27937.24169,28509.72327,29688.51439,28620,28056,28352,28620,3542.095668,13325.20245,10383.04358,3542.095668,24212,65,6982,24212,42699,56548,55936,42699
3095,curve-right-spin-Rfirst,32684.79176,40197.94977,24365.19635,32684.79176,30393,39588,26689,30393,6140.20039,11748.5522,12441.93911,6140.20039,27668,19528,61,27668,58944,64824,55328,58944
3096,stand,29234.29469,29248.92048,29224.67229,29234.29469,29085,28828,28981,29085,883.6914788,943.9513907,977.9090103,883.6914788,28149,28095,28076,28149,30670,30889,30908,30670
3097,v-cut-right-Rfirst,28523.82998,32355.19526,29353.19708,28523.82998,28947,30756,30229,28947,3180.925472,9087.146598,9561.827048,3180.925472,21572,20028,3115,21572,39029,65416,57460,39029
3098,curve-left-spin-Rfirst,29824.16322,15940.8433,33324.67629,29824.16322,29323,19464,36956,29323,2744.062827,9622.072246,16444.78435,2744.062827,24080,74,63,24080,35352,31985,57420,35352
3099,curve-left-step,29576.09444,29248.06383,29136.80389,29576.09444,30210.5,29789,29788,30210.5,5830.533781,10454.67533,11742.26048,5830.533781,61,7353,67,61,43012,58404,58940,43012
3100,v-cut-left-Rfirst,28417.37778,21582.78373,37281.44732,28417.37778,28030,20188,37403,28030,2501.327447,11467.14586,11998.83291,2501.327447,23116,64,66,23116,34447,65420,65416,34447
3101,v-cut-left-Lfirst,29529.12963,28786.95843,23835.26559,29529.12963,28520,32741,25284,28520,5122.354493,16443.92712,13196.73734,5122.354493,20800,60,66,20800,40964,57561,55201,40964
3102,v-cut-right-Lfirst,27791.94325,33709.99694,26499.16692,27791.94325,28194,34040,24830,28194,1971.735851,15148.82423,8151.714013,1971.735851,23442,63,11820,23442,31765,65412,49852,31765
3103,sit,29547.40705,29469.48882,29020.0639,29547.40705,29673,29427,28620,29673,1003.026163,1015.772108,888.4080092,1003.026163,28140,28165,28144,28140,30868,30896,30904,30868
3104,v-cut-left-Lfirst,31065.62525,24493.9626,30204.28346,31065.62525,30160,26337,34865,30160,4656.104724,14944.67693,13566.05804,4656.104724,22922,61,65,22922,40544,53788,51328,40544
3105,run,32301.2457,27806.65399,30992.81227,32301.2457,30170,24712,33326,30170,4803.966425,16565.34103,17610.13698,4803.966425,25778,60,60,25778,47419,65420,65420,47419
3106,curve-left-spin-Lfirst,29336.87143,23961.01994,18179.82336,29336.87143,29676,24321,20665,29676,1459.466892,3195.920319,9094.694837,1459.466892,26056,17574,1134,26056,31335,32378,33308,31335
3107,curve-right-spin-Lfirst,29204.45833,34808.73418,33104.0217,29204.45833,29153,36420,28620,29153,1183.681879,4484.154523,13255.05978,1183.681879,26620,26173,6890,26620,31376,41544,65424,31376
3108,v-cut-right-Rfirst,29938.40625,29719.42385,30113.62936,29938.40625,28968,29964,28892,28968,6302.856676,7868.624378,7863.405312,6302.856676,20590,5766,16266,20590,47066,48562,56168,47066
3109,v-cut-right-Lfirst,28320.63725,33873.25938,26434.17618,28320.63725,28644,31728,23877,28644,1969.636688,8414.218803,14679.65185,1969.636688,22844,24509,62,22844,32152,60776,60776,32152
3110,sit-to-stand,29058.03219,29612.3253,29723,29058.03219,28865,29661,29800,28865,871.8543774,2507.724495,2582.967386,871.8543774,27672,22506,24937,27672,30810,35403,34404,30810
3111,curve-left-spin-Lfirst,28988.48115,27270.2957,24472.09677,28988.48115,29060,26944,20852,29060,1314.814605,4152.642138,20646.96439,1314.814605,26084,20868,62,26084,31844,39081,65432,31844
3112,v-cut-left-Rfirst,29084.38552,26566.69322,33839.80826,29084.38552,29548,24961,31408,29548,1768.797153,14930.19132,11324.23407,1768.797153,25016,61,77,25016,31648,65416,65416,31648
3113,curve-right-step,30751.18182,30192.10069,28770.04344,30751.18182,31160,30850,30292,31160,7743.81403,12026.8469,11793.08909,7743.81403,63,106,106,63,54596,52636,55132,54596
3114,v-cut-right-Rfirst,30245.93169,30376.92992,28382.90909,30245.93169,31972,29816,27165,31972,6690.059123,12032.40541,6238.451485,6690.059123,17948,66,16612,17948,41044,65404,39866,41044
3115,curve-right-spin-Rfirst,36975.40802,31740.50588,26942.02824,36975.40802,30764,32228,28146,30764,12197.34059,15671.77332,5615.751334,12197.34059,28309,63,63,28309,65428,65428,34392,65428
3116,curve-left-spin-Lfirst,29003.09773,25115.69161,18895.94104,29003.09773,29074,26152,18528,29074,1303.173104,4003.047218,5781.383635,1303.173104,25406,17584,10369,25406,31228,32088,30196,31228
3117,run,30896.44689,29400.80724,29049.50065,30896.44689,32194,26884,27712,32194,7796.765695,16651.5177,17678.00344,7796.765695,63,62,62,63,44060,65420,65424,44060
3118,lateral-shuffle-right,28325.16141,29985.4497,30693.09818,28325.16141,28137,29220,29481,28137,9693.972818,16927.80956,17221.60998,9693.972818,62,61,63,62,47769,62976,65424,47769
3119,stand,29480.67059,29117.1085,29250.31672,29480.67059,29466,28742,29108,29466,868.600969,896.404542,866.5229025,868.600969,28058,28164,28164,28058,30956,30924,30900,30956
3120,stair-up,28720.49915,29081.22638,29005.49277,28720.49915,29405,31413,28524,29405,7650.361612,11170.00132,11308.45433,7650.361612,67,62,62,67,42024,65416,65416,42024
3121,v-cut-left-Lfirst,27827.86213,31392.85321,23607.81651,27827.86213,28241,33824,22988,28241,1941.5381,9856.433578,14594.34551,1941.5381,24056,67,64,24056,32042,45984,59369,32042
3122,curve-right-step,29099.44477,31704.03872,28267.53727,29099.44477,30156,32823,29042,30156,7602.816135,12610.8891,10538.91894,7602.816135,63,1758,70,63,56976,65416,48528,56976
3123,walk,30427.17768,29760.25335,29229.2355,30427.17768,30167,29528,29466,30167,2536.531596,12178.72012,12478.81953,2536.531596,25278,9310,5089,25278,37128,59972,65420,37128
3124,lateral-shuffle-right,29293.53952,29513.81203,30667.30827,29293.53952,28408,28401,27481,28408,4104.527902,17963.88276,19789.578,4104.527902,21376,61,60,21376,41476,65416,65428,41476
3125,v-cut-left-Lfirst,29038.94286,25477.3122,32626.87322,29038.94286,29057,29001,34926,29057,2859.115564,14821.5051,12632.75617,2859.115564,22340,60,61,22340,37408,58568,55144,37408
3126,curve-left-step,29407.64662,29548.95399,29386.41221,29407.64662,30200,29824,31948,30200,5761.602172,10888.24118,11915.92697,5761.602172,1894,66,61,1894,46912,57712,64496,46912
3127,lateral-shuffle-right,28088.95658,30531.93955,29089.20105,28088.95658,27669,26224,27205,27669,5666.136656,15648.03477,19992.92833,5666.136656,15897,64,61,15897,44308,64224,65424,44308
3128,walk,30569.52514,29838.30698,28563.44372,30569.52514,30368,30064,29213,30368,7488.041598,12533.35044,12205.50677,7488.041598,7479,2158,2857,7479,65336,65416,55261,65336
3129,run,32595.67848,29069.37421,31457.97724,32595.67848,32652,27296,30636,32652,4483.472308,16310.30547,17975.56044,4483.472308,23219,61,61,23219,44961,65428,65428,44961
3130,curve-left-step,29609.27628,28630.01059,29718.51792,29609.27628,29590,28512,30820,29590,3332.926685,11244.43825,12602.0336,3332.926685,22888,8071,63,22888,42968,64032,64552,42968
3131,sit,29167.76656,29157.78616,29072.81761,29167.76656,29096,28937,28665,29096,893.3724767,884.1734515,881.5001327,893.3724767,28104,28084,28136,28104,30857,30784,30868,30857
3132,lateral-shuffle-right,28048.88131,30504.9256,31232.82976,28048.88131,29193,32480,31680,29193,6722.12032,17173.94693,18524.005,6722.12032,6988,61,60,6988,41364,65414,65424,41364
3133,sit,29281.69136,29459.85846,29206.20923,29281.69136,29292,29526,28710,29292,952.5395893,818.2653164,1009.885988,952.5395893,28118,28216,28137,28118,30720,30841,30886,30720
3134,curve-right-spin-Lfirst,28841.91057,34325.52941,34774.67748,28841.91057,28566,33989,30924,28566,2089.245203,3089.897481,10593.95478,2089.245203,25410,28414,20628,25410,36992,42204,64536,36992
3135,v-cut-right-Rfirst,30084.95142,30889.11515,31719.33939,30084.95142,29472,29408,30336,29472,5457.452456,12124.20563,7383.674074,5457.452456,19896,64,18646,19896,41288,64592,52720,41288
3136,sit-to-stand,29093.23887,29622.48889,29800.43636,29093.23887,28948,29643,30114,28948,926.1334898,2394.842358,1810.568157,926.1334898,27756,23152,25712,27756,30740,34453,32394,30740
3137,v-cut-left-Rfirst,27991.54693,25506.66667,35606.27027,27991.54693,29860,24228,34721,29860,5165.158766,11656.76836,10865.87466,5165.158766,12939,66,7148,12939,37289,65420,63680,37289
3138,curve-right-spin-Lfirst,30138.83117,36312.21166,30497.50756,30138.83117,29589,36459,31012,29589,2435.119485,6191.169353,14870.59089,2435.119485,25148,26359,61,25148,35464,50789,62172,35464
3139,stand-to-sit,29031.99057,29310.09793,29494.20716,29031.99057,29048,29397,28848,29048,1044.545374,2984.942213,2848.519389,1044.545374,26761,23812,23412,26761,31031,36772,34951,31031
3140,stand,29389.74063,29199.94393,29175.20561,29389.74063,29370,29020,28680,29370,881.691996,935.2570051,961.6615868,881.691996,28100,28068,28156,28100,31020,30813,30860,31020
3141,curve-right-step,30132.79469,29711.75332,28505.32007,30132.79469,30136,29880,28137,30136,6596.540177,9309.159367,9250.906805,6596.540177,65,9743,3909,65,55040,50528,54389,55040
3142,jump-one-leg,27736.38953,36900.75362,18750.82319,27736.38953,25152,35120,13513,25152,6844.106192,12434.87442,18701.47901,6844.106192,16256,19976,61,16256,46504,65428,65424,46504
3143,stair-down,29887.73524,29488.12316,29513.35993,29887.73524,29753,31484,29344,29753,6112.244857,9857.324877,9027.520859,6112.244857,14805,64,4032,14805,45933,51068,48144,45933
3144,run,32880.57342,29076.40455,31276.78887,32880.57342,31364,27189,30272,31364,6060.647439,17245.76891,18206.96956,6060.647439,26532,62,61,26532,57656,65422,65428,57656
3145,jump-two-leg,29220.375,29870.94756,28742.13382,29220.375,28858,28960,25672,28858,1049.435995,5718.578911,16481.98014,1049.435995,27859,17629,61,27859,32962,42900,65428,32962
3146,stand,29303.86538,29205.77808,29227.03014,29303.86538,29290,28836,28844,29290,876.1888302,962.8896315,963.151282,876.1888302,28128,27964,28112,28128,30792,30920,31008,30792
3147,v-cut-right-Rfirst,30869.10886,28548.01473,29100.95028,30869.10886,29365,28005,29164,29365,5631.332274,11584.27655,5286.862169,5631.332274,23320,1913,18706,23320,45496,65412,39220,45496
3148,v-cut-left-Lfirst,29953.03421,27530.751,26187.83936,29953.03421,29364,31042,26210,29364,2959.880685,12977.61141,10692.47984,2959.880685,25960,62,8983,25960,42508,52524,59894,42508
3149,v-cut-right-Lfirst,27948.58042,33817.41012,25461.04188,27948.58042,28341,34512,22836,28341,2441.545477,14460.8137,11838.81286,2441.545477,22430,62,6632,22430,32448,63208,65370,32448
3150,curve-right-step,28671.5969,31516.85963,28849.06196,28671.5969,30928,32084,29928,30928,9190.625372,10843.85454,10467.69924,9190.625372,63,7120,5738,63,58001,64596,57492,58001
3151,stand,29187.23392,29015.32362,29287.26531,29187.23392,29024,28784,29069,29024,917.1286655,901.8203992,1017.044001,917.1286655,28139,27660,27912,28139,30808,30668,31286,30808
3152,jump-two-leg,28202.62998,32249.45833,26257.82576,28202.62998,28484,31440,27653,28484,2683.193643,7336.588475,15388.06253,2683.193643,21832,18457,63,21832,32120,50493,65416,32120
3153,curve-right-spin-Lfirst,28653.01468,35738.39749,32825.74477,28653.01468,28232,37387,29828,28232,2307.924383,4932.799199,14270.92983,2307.924383,25208,23741,11459,25208,34856,42336,65420,34856
3154,jump-two-leg,28143.19048,32017.83762,26704.46931,28143.19048,28952,31484,27105,28952,3812.521203,7266.712605,14758.98301,3812.521203,12802,12802,62,12802,33353,55648,65417,33353
3155,sit,29259.4779,29267.87328,29162.08264,29259.4779,29116,29109,28916,29116,965.6270914,969.0463162,928.8827149,965.6270914,28072,28177,28177,28072,30852,30821,30778,30852
3156,curve-right-spin-Lfirst,28992.62554,33512.62419,36238.30886,28992.62554,28137,31849,36757,28137,3301.776284,4392.700719,13711.19681,3301.776284,23028,28104,4704,23028,36216,42788,64232,36216
3157,curve-left-step,30233.66196,29210.09219,29134.80997,30233.66196,29784,29028,32292,29784,5960.26216,11456.2606,12453.35604,5960.26216,6301,8209,63,6301,52268,55896,65430,52268
3158,curve-right-spin-Rfirst,33710.87028,40172.55059,23426.30118,33710.87028,29708,38344,27344,29708,8004.132193,8823.236399,12670.24908,8004.132193,28181,26400,61,28181,55965,58024,51476,55965
3159,curve-right-step,30098.96768,30010.25166,28709.44065,30098.96768,31002,31146,29916,31002,7554.6448,10713.00751,10304.80755,7554.6448,65,64,2406,65,54240,59760,50660,54240
3160,lateral-shuffle-right,27688.25616,30148.4059,30830.29766,27688.25616,29165,28182,33888,29165,6082.748053,17464.8281,18478.09631,6082.748053,4888,61,61,4888,37152,65412,65416,37152
3161,curve-right-step,28525.68478,32013.53406,28031.76308,28525.68478,30260,31460,29220,30260,8655.043378,10666.68524,9664.252127,8655.043378,61,4563,5351,61,57228,58168,45080,57228
3162,curve-right-spin-Lfirst,30052.55705,35060.70089,32137.02232,30052.55705,29932,34960,30667,29932,4379.771386,4652.361475,14177.61884,4379.771386,23314,23824,6200,23314,42255,43588,62032,42255
3163,v-cut-right-Rfirst,31388.02105,28561.43958,32284.97898,31388.02105,29332,28584,32874,29332,7549.1161,14588.54764,10910.11337,7549.1161,20656,61,14704,20656,51213,65416,63912,51213
3164,sit-to-stand,29112.7669,29251.75133,30919.27709,29112.7669,28752,29181,31224,28752,1009.015306,3161.044904,2691.523697,1009.015306,27336,20693,24197,27336,31168,38530,36560,31168
3165,v-cut-left-Lfirst,27930.07091,35704.68603,22210.08893,27930.07091,28385,33881,24080,28385,2637.336197,12351.56666,16642.39554,2637.336197,21513,61,60,21513,31700,65420,65425,31700
3166,v-cut-left-Rfirst,27678.11238,25762.53171,33947.00325,27678.11238,27644,28080,34560,27644,1806.075713,10184.54592,11318.80297,1806.075713,24388,4849,4849,24388,31948,64196,65432,31948
3167,curve-left-spin-Lfirst,29560.83151,24879.10044,21229.69432,29560.83151,29476,25133,22376,29476,1471.711103,6192.789883,10628.14482,1471.711103,25084,12204,65,25084,31621,38281,42080,31621
3168,stand-to-sit,28270.08182,30324.79819,29288.95011,28270.08182,28260,29256,28901,28260,1478.977342,3965.456171,2496.072921,1478.977342,24900,24509,24658,24900,31308,39793,34178,31308
3169,v-cut-left-Lfirst,28482.20217,32870.3009,24709.86667,28482.20217,28483,34292,24328,28483,2028.971182,11391.65493,13201.44902,2028.971182,25492,61,61,25492,36448,57736,49457,36448
3170,stair-up,28654.46186,29215.04488,28666.19475,28654.46186,28952,30744,29988,28952,10173.03794,11100.97721,11659.55614,10173.03794,63,6202,64,63,55674,65412,65416,55674
3171,v-cut-right-Rfirst,30764.53931,29673.44161,29849.70073,30764.53931,28329,30324,29340,28329,7088.125621,11443.87033,7640.299803,7088.125621,23272,68,14588,23272,56352,62984,49108,56352
3172,sit,29153.09167,29192.51247,29154.8144,29153.09167,28605,28752,28848,28605,953.6989007,861.2280802,891.7817629,953.6989007,28137,28180,28176,28137,30889,30852,30804,30889
3173,sit-to-stand,29173.12103,29603.30495,29673.38614,29173.12103,28985,29653,29353,28985,951.354869,2449.723616,2009.456152,951.354869,27957,23424,26014,27957,30941,34737,35137,30941
3174,walk,29675.53232,30096.95067,29529.44664,29675.53232,30669,29661,30326,30669,6905.672159,10607.96286,10672.14072,6905.672159,6330,8128,1367,6330,62418,59032,59476,62418
3175,stand-to-sit,28050.06055,31040.79922,28715.25536,28050.06055,28268,32504,28433,28268,1670.029962,5744.118531,1894.618259,1670.029962,21660,21124,25700,21660,30548,41944,34332,30548
3176,curve-right-spin-Rfirst,37465.33333,31114.37079,29078.01573,37465.33333,32592,32685,28161,32592,10200.54594,17682.58198,8765.058279,10200.54594,27184,60,9257,27184,58748,57012,65148,58748
3177,stair-up,28233.81736,30045.99174,28905.52519,28233.81736,29348,30700,29256,29348,9803.824059,14041.77285,12198.81812,9803.824059,61,63,65,61,49772,65420,65416,49772
3178,curve-left-step,28433.83069,28698.88899,30671.1022,28433.83069,29564,28736,28993,29564,7399.699293,10612.88542,10472.861,7399.699293,63,61,66,63,44360,53224,65424,44360
3179,lateral-shuffle-right,28493.14085,30415.88277,30284.2415,28493.14085,28164,30870,28236,28164,8424.433274,18962.53764,19061.39449,8424.433274,80,60,62,80,46412,65421,65424,46412
3180,lateral-shuffle-right,27855.54581,31452.08366,29479.5634,27855.54581,28080,31716,29250,28080,8707.015308,17954.67016,16786.96858,8707.015308,7740,60,65,7740,59152,65419,65420,59152
3181,stand,29253.73248,29096.68571,29131.84762,29253.73248,28704,28998,28884,28704,1003.971557,903.8419375,824.9968475,1003.971557,28122,28041,28016,28122,30749,31064,30738,30749
3182,sit,29191.19333,28883.02658,29370.56811,29191.19333,29052,28512,29474,29052,870.9310568,778.314833,1047.429638,870.9310568,28074,28101,28180,28074,31008,30784,30856,31008
3183,run,31157.07524,30627.32848,31300.77818,31157.07524,30305,29668,31032,30305,4187.779116,16052.2625,16556.8493,4187.779116,24440,61,60,24440,42456,65428,65428,42456
3184,jump-two-leg,29320.57843,29871.8956,29750.8907,29320.57843,29220,29801,29328,29220,1048.338955,9745.485861,18177.51213,1048.338955,26869,8382,61,26869,31869,58504,65416,31869
3185,sit-to-stand,28919.31641,29333.27875,30511.79727,28919.31641,28475,29220,30804,28475,1015.815122,2495.934751,2530.863649,1015.815122,27265,22456,25456,27265,31008,34917,36637,31008
3186,curve-left-step,28887.05307,29890.91907,29600.91814,28887.05307,28808,30224,31350,28808,5952.641942,10822.93887,10888.76392,5952.641942,11004,4378,67,11004,47056,59952,59320,47056
3187,curve-right-spin-Lfirst,28183.17609,36378.54664,33103.09111,28183.17609,27900,36337,31904,27900,3282.672988,4235.061387,11979.57483,3282.672988,21800,24780,9980,21800,36877,44824,60352,36877
